,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end,doi_1,doi_2,ba_fnd_r,ba_fdt_r,ba_fdt_y,ba_fdt_o
65,179,0,1994-04-01,800.0,4A,69419626.58,0.0,56623761.92,12795864.66,1086259028.82,1086875103.55,69419626.58,69419626.58,8000000.0,1994,1994.0,23.0
66,1324,1,2007-06-14,200.0,4A,200000.0,0.0,0.0,200000.0,2179516.65,2179516.65,200000.0,200000.0,2000000.0,2007,2007.0,10.0
67,19,1,2005年01月27日,1000.0,5A,274690566.76,543998.0,267234564.76,8000000.0,1118666565.59,1269724262.77,275234564.76,275234564.76,10000000.0,2005,2005.0,12.0
68,1175,0,2005-11-01,400.0,未参评,2000000.0,0.0,0.0,2000000.0,18976216.13,19034554.94,2000000.0,2000000.0,4000000.0,2005,2005.0,12.0
69,2145,1,2008-01-10,200.0,未参评,4645704.4,3301124.0,0.0,7946828.4,2158078.97,2160343.97,7946828.4,7946828.4,2000000.0,2008,2008.0,9.0
70,2762,1,2008-07-29,200.0,未参评,5950000.0,0.0,0.0,5950000.0,3016860.59,3727128.59,5950000.0,5950000.0,2000000.0,2008,2008.0,9.0
71,4994,1,2016-02-03,200.0,--,484872.0,0.0,450872.0,34000.0,2419914.86,2419914.86,484872.0,484872.0,2000000.0,2016,2016.0,1.0
72,2224,1,2007-11-27,200.0,未参评,0.0,0.0,0.0,0.0,2188171.33,2342468.37,0.0,0.0,2000000.0,2007,2007.0,10.0
73,3747,1,2014-03-31,200.0,未参评,0.0,0.0,0.0,0.0,1620710.33,1927549.44,0.0,0.0,2000000.0,2014,2014.0,3.0
74,3092,0,2012-12-05,400.0,3A,6512000.0,0.0,0.0,6512000.0,10441711.01,10441711.01,6512000.0,6512000.0,4000000.0,2012,2012.0,5.0
75,4099,1,2014年11月14日,300.0,未参评,0.0,0.0,0.0,0.0,1638998.24,1639074.78,0.0,0.0,3000000.0,2014,2014.0,3.0
76,33,1,2003年10月31日,300.0,未参评,300000.0,0.0,0.0,300000.0,11843512.63,11843512.63,300000.0,300000.0,3000000.0,2003,2003.0,14.0
77,380,0,2005-03-23,400.0,未参评,2927500.0,0.0,0.0,2927500.0,11604429.46,15823017.46,2927500.0,2927500.0,4000000.0,2005,2005.0,12.0
78,4075,1,2014年10月21日,200.0,未参评,2670000.0,0.0,1670000.0,1000000.0,20038715.64,59727378.29,2670000.0,2670000.0,2000000.0,2014,2014.0,3.0
79,2110,1,2013-03-26,200.0,未参评,42500.0,2130000.0,2130000.0,42500.0,2082799.63,2082799.63,2172500.0,2172500.0,2000000.0,2013,2013.0,4.0
80,55,0,2005年03月17日,450.0,未参评,400000.0,0.0,0.0,400000.0,5723757.9,5723757.9,400000.0,400000.0,4500000.0,2005,2005.0,12.0
81,4339,1,2015年02月15日,300.0,未参评,0.0,12894785.56,9120456.32,3774329.24,17680162.84,17731181.59,12894785.56,12894785.56,3000000.0,2015,2015.0,2.0
82,1835,0,2010-04-22,500.0,1A,7721850.0,0.0,7721850.0,0.0,16381285.91,16381285.91,7721850.0,7721850.0,5000000.0,2010,2010.0,7.0
83,2482,0,2008-03-02,400.0,未参评,0.0,0.0,0.0,0.0,4360803.79,4360803.79,0.0,0.0,4000000.0,2008,2008.0,9.0
84,3129,1,2010-12-06,200.0,3A,4474844.19,0.0,3133326.56,1341517.63,10173212.31,10173212.31,4474844.1899999995,4474844.19,2000000.0,2010,2010.0,7.0
85,1183,1,2012-07-09,200.0,未参评,8446749.46,0.0,8446749.46,0.0,33324794.55,33324794.55,8446749.46,8446749.46,2000000.0,2012,2012.0,5.0
86,1160,1,2009-05-25,300.0,未参评,3777332.92,0.0,381982.92,3395350.0,80302088.38,80332088.38,3777332.92,3777332.92,3000000.0,2009,2009.0,8.0
87,3022,0,2013-01-04,400.0,未参评,8099188.4,0.0,7990865.36,108323.04,5010236.16,5010236.16,8099188.4,8099188.4,4000000.0,2013,2013.0,4.0
88,2071,0,1994-06-04,400.0,5A,51271.0,0.0,50000.0,1271.0,12917760.67,30785327.66,51271.0,51271.0,4000000.0,1994,1994.0,23.0
89,137,0,1992年01月30日,1500.0,未参评,300000.0,0.0,0.0,300000.0,81481628.17,83667161.88,300000.0,300000.0,15000000.0,1992,1992.0,25.0
90,4486,1,2010-05-26,200.0,未参评,396449.57,1000644.0,0.0,1397093.57,2667092.02,2771322.02,1397093.57,1397093.57,2000000.0,2010,2010.0,7.0
91,5205,1,2016年09月22日,200.0,--,0.0,0.0,0.0,2000000.0,2002111.33,2002111.33,2000000.0,0.0,2000000.0,2016,2016.0,1.0
92,257,0,1993-08-31,800.0,1A,0.0,0.0,0.0,0.0,9387371.07,9387371.07,0.0,0.0,8000000.0,1993,1993.0,24.0
93,107,0,1991年01月02日,400.0,未参评,0.0,0.0,0.0,600000.0,21816550.97,22229489.06,600000.0,0.0,4000000.0,1991,1991.0,26.0
94,4475,0,2015-05-22,19000.0,未参评,358844601.33,0.0,338844406.0,20000195.33,548279013.07,552287418.8,358844601.33,358844601.33,190000000.0,2015,2015.0,2.0
95,3820,1,2014-05-27,2000.0,未参评,1000000.0,0.0,0.0,1000000.0,18177741.78,18177741.78,1000000.0,1000000.0,20000000.0,2014,2014.0,3.0
96,82,0,1992年06月06日,680.0,未参评,0.0,0.0,0.0,0.0,10403808.3,11043608.3,0.0,0.0,6800000.0,1992,1992.0,25.0
97,2979,0,2012-02-08,481.0,未参评,79500.0,0.0,79500.0,0.0,5737984.2,5837473.31,79500.0,79500.0,4810000.0,2012,2012.0,5.0
98,2108,1,2012-12-03,200.0,未参评,0.0,0.0,0.0,0.0,2216766.39,2216766.39,0.0,0.0,2000000.0,2012,2012.0,5.0
99,5110,0,2016-05-19,500.0,--,7592648.0,20475260.0,100000.0,27967908.0,9514527.78,9514527.78,28067908.0,28067908.0,5000000.0,2016,2016.0,1.0
100,889,0,2004-10-21,400.0,--,0.0,379052.7,0.0,379052.7,12110290.69,12110290.69,379052.7,379052.7,4000000.0,2004,2004.0,13.0
101,81,0,2003年12月25日,3000.0,5A,60973926.4,0.0,0.0,60973926.4,147630422.06,147636611.3,60973926.4,60973926.4,30000000.0,2003,2003.0,14.0
102,61,0,2012年06月04日,400.0,未参评,11002300.0,0.0,2250000.0,8752300.0,37834883.42,38808819.47,11002300.0,11002300.0,4000000.0,2012,2012.0,5.0
103,947,0,2011-06-24,400.0,3A,234000.0,0.0,0.0,234000.0,4165535.56,4165535.56,234000.0,234000.0,4000000.0,2011,2011.0,6.0
104,3408,1,2006-03-01,200.0,2A,0.0,0.0,0.0,0.0,2133414.76,2161414.76,0.0,0.0,2000000.0,2006,2006.0,11.0
105,4188,1,2014-08-14,500.0,未参评,50000.0,350000.0,0.0,400000.0,4686888.98,4820708.98,400000.0,400000.0,5000000.0,2014,2014.0,3.0
106,2075,0,1993-06-07,500.0,5A,18106095.83,0.0,18106095.83,0.0,53641938.63,53672085.84,18106095.83,18106095.83,5000000.0,1993,1993.0,24.0
107,1173,0,1985-08-01,500.0,未参评,0.0,0.0,0.0,0.0,5953889.25,5953889.25,0.0,0.0,5000000.0,1985,1985.0,32.0
108,3496,1,2014-12-08,200.0,未参评,259100.0,0.0,121000.0,138100.0,4883119.96,4885119.96,259100.0,259100.0,2000000.0,2014,2014.0,3.0
109,3617,1,2013-10-15,200.0,3A,1500000.0,0.0,0.0,1500000.0,4424228.55,4429473.87,1500000.0,1500000.0,2000000.0,2013,2013.0,4.0
110,2497,0,2008-06-26,400.0,未参评,124000.0,0.0,0.0,124000.0,478810.71,593810.71,124000.0,124000.0,4000000.0,2008,2008.0,9.0
111,4200,1,2014-12-24,200.0,未参评,2604999.16,0.0,844999.16,1760000.0,3979857.74,3979857.74,2604999.16,2604999.16,2000000.0,2014,2014.0,3.0
112,1102,1,1994-06-24,200.0,1A,133000.0,0.0,0.0,133000.0,2004999.37,2004999.37,133000.0,133000.0,2000000.0,1994,1994.0,23.0
115,2939,1,2010-05-07,200.0,3A,32347169.85,0.0,32347169.85,0.0,38446727.46,38446727.46,32347169.85,32347169.85,2000000.0,2010,2010.0,7.0
116,5560,1,2016-09-14,200.0,--,200000.0,0.0,200000.0,0.0,2202051.56,2202351.56,200000.0,200000.0,2000000.0,2016,2016.0,1.0
117,4403,1,2015-03-09,200.0,--,50.0,0.0,0.0,50.0,-2903759.52,350853.73,50.0,50.0,2000000.0,2015,2015.0,2.0
118,974,0,2010-04-15,400.0,未参评,0.0,0.0,0.0,0.0,6792767.05,6792767.05,0.0,0.0,4000000.0,2010,2010.0,7.0
119,1065,0,2005-01-25,400.0,未参评,1092601.0,0.0,0.0,1092601.0,5821035.82,5821035.82,1092601.0,1092601.0,4000000.0,2005,2005.0,12.0
120,2202,1,2013-04-03,200.0,未参评,14152900.0,0.0,12055000.0,2097900.0,15614602.44,15614602.44,14152900.0,14152900.0,2000000.0,2013,2013.0,4.0
121,3192,1,2010-11-02,16000.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000000.0,2010,2010.0,7.0
