,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end
22,4684,非公募基金会,2015-09-03,200.00,未参评,"639,890.93","228,500.00",0.00,"868,390.93","4,636,702.65","4,636,702.65"
23,2242,非公募基金会,2009-07-01,200.00,未参评,"500,000.00",0.00,0.00,"500,000.00","428,765.07","428,765.07"
24,3012,非公募基金会,2010-11-15,200.00,4A,"500,000.00",0.00,0.00,"500,000.00","3,219,012.57","3,369,012.57"
25,4707,非公募基金会,2015年09月24日,260.0,未参评,78000.0,0.0,0.0,78000.0,2586714.62,2589704.65
26,4938,非公募基金会,2016-01-19,200.00,--,"1,340,000.00",0.00,0.00,"1,340,000.00","1,946,427.87","1,952,223.37"
27,3164,非公募基金会,2011-04-20,"1,000.00",3A,0.00,0.00,0.00,0.00,"34,036,397.74","34,036,397.74"
28,4852,非公募基金会,2015年12月09日,200.0,未参评,0.0,0.0,0.0,0.0,1737277.27,1737277.27
29,5549,非公募基金会,2016-12-19,200.00,--,0.00,0.00,0.00,0.00,"2,000,000.00","2,000,000.00"
30,3680,非公募基金会,2014-01-16,500.00,未参评,400.00,0.00,0.00,400.00,"4,435,952.12","5,016,952.12"
31,3641,非公募基金会,发起人,200.00,未参评,"4,158,932.84",0.00,"4,158,432.75",500.09,"5,784,042.77","5,786,614.77"
32,5340,非公募基金会,2016-09-21,200.00,--,"1,500.00",0.00,0.00,"1,500.00","1,898,218.20","1,898,218.20"
33,748,非公募基金会,发起人,"2,000.00",未参评,"26,747,876.66",0.00,0.00,"26,747,876.66","69,216,219.86","73,437,207.71"
34,2267,非公募基金会,2013-06-05,200.00,未参评,"1,326,765.32","4,144,702.00",0.00,"5,471,467.32","2,980,580.72","2,980,580.72"
35,244,公募基金会,1984-03-15,"50,621.00",5A,"235,041,839.76","315,775,293.91","545,582,185.87","5,234,947.80","811,370,021.58","823,283,981.17"
36,4793,非公募基金会,2015-11-17,200.00,--,"2,000,000.00",0.00,0.00,"2,000,000.00","2,055,169.41","2,055,169.41"
37,3978,非公募基金会,2014-08-06,200.00,未参评,0.00,"5,631.87",0.00,"5,631.87","1,877,421.52","1,879,421.52"
38,2954,公募基金会,1998-01-01,400.00,未参评,"1,414,500.00",0.00,0.00,"1,414,500.00","28,246,466.91","28,246,466.91"
39,1060,非公募基金会,2005-10-14,200.00,3A,"6,446,308.68",0.00,"6,441,790.68","4,518.00","8,413,038.89","8,413,038.89"
40,2967,公募基金会,2013-12-23,400.00,未参评,"17,000,813.10",0.00,0.00,"17,000,813.10","163,001,605.97","165,123,429.67"
41,1315,非公募基金会,2012-05-21,200.00,3A,0.00,0.00,0.00,0.00,"12,364,324.66","12,364,324.66"
42,126,非公募基金会,2008年05月07日,1900.0,未参评,1124000.0,0.0,0.0,1124000.0,29439334.31,29464900.99
43,2684,非公募基金会,2013-01-08,500.00,4A,"60,000.00",0.00,"60,000.00",0.00,"4,867,879.98","4,867,879.98"
44,2283,非公募基金会,2012-09-04,200.00,未参评,"51,584.99",0.00,0.00,"51,584.99","1,882,861.14","1,882,861.14"
45,2197,非公募基金会,2012-01-12,200.00,未参评,"200,000.00",0.00,0.00,"200,000.00","2,014,922.85","2,014,922.85"
46,3216,公募基金会,2011-12-19,500.00,4A,"21,052,275.47",0.00,"21,052,275.47",0.00,"11,634,654.35","11,634,654.35"
47,3309,非公募基金会,2011-11-22,200.00,--,0.00,0.00,0.00,0.00,"3,345,003.19","3,345,003.19"
48,2249,非公募基金会,2012-08-10,500.00,未参评,"3,650,940.64",0.00,0.00,"3,650,940.64","14,517,499.95","14,566,840.61"
49,4136,非公募基金会,2014年12月16日,200.0,未参评,1150300.0,0.0,0.0,1150300.0,1963905.15,2003959.75
50,5967,公募基金会,2011-05-04,400.00,--,0.00,0.00,0.00,0.00,"6,328,741.71","6,550,051.69"
51,4179,公募基金会,2014-05-19,400.00,--,0.00,0.00,0.00,0.00,"4,921,344.52","4,921,344.52"
52,2219,非公募基金会,2011-03-01,500.00,未参评,"1,842,932.35",0.00,"710,000.00","1,132,932.35","10,339,980.36","10,339,980.36"
53,1774,公募基金会,2003-02-13,400.00,3A,"100,000.00",0.00,0.00,"100,000.00","12,658,832.11","12,658,832.11"
54,2234,非公募基金会,2012-05-11,"2,000.00",未参评,"221,150,000.00",0.00,"15,550,000.00","205,600,000.00","297,301,772.10","298,060,829.78"
55,5201,非公募基金会,2016年09月22日,200.0,--,2000000.0,0.0,0.0,2000000.0,1985663.71,1985708.71
56,5242,非公募基金会,2016年10月28日,2000.0,--,20000000.0,0.0,0.0,20000000.0,20012834.07,20012834.07
57,1818,公募基金会,1992-08-01,400.00,未参评,0.00,0.00,0.00,0.00,"6,043,098.48","6,043,098.48"
58,2490,非公募基金会,2012-11-13,200.00,未参评,0.00,0.00,0.00,0.00,"2,021,386.15","2,051,986.15"
59,1363,非公募基金会,2013-05-23,200.00,未参评,0.00,0.00,0.00,0.00,"22,470,442.56","22,470,442.56"
60,2057,非公募基金会,1996-10-04,200.00,4A,"868,983.50",0.00,"868,983.50",0.00,"2,714,521.72","2,714,521.72"
61,2262,非公募基金会,2005-11-01,200.00,未参评,0.00,0.00,0.00,0.00,"37,061,363.70","37,061,363.70"
62,133,非公募基金会,2010年02月12日,200.0,未参评,1058589.4,0.0,0.0,1058589.4,8835721.43,8835721.43
63,1255,公募基金会,2010-03-03,430.12,4A,"5,914,845.32",0.00,"72,000.00","5,842,845.32","8,629,459.77","8,629,459.77"
64,252,公募基金会,1994-04-01,800.00,3A,"3,024,595.36",0.00,"2,896,377.52","128,217.84","9,746,844.50","9,942,333.93"
65,179,公募基金会,1994-04-01,800.00,4A,"69,419,626.58",0.00,"56,623,761.92","12,795,864.66","1,086,259,028.82","1,086,875,103.55"
66,1324,非公募基金会,2007-06-14,200.00,4A,"200,000.00",0.00,0.00,"200,000.00","2,179,516.65","2,179,516.65"
67,19,非公募基金会,2005年01月27日,1000.0,5A,274690566.76,543998.0,267234564.76,8000000.0,1118666565.59,1269724262.77
68,1175,公募基金会,2005-11-01,400.00,未参评,"2,000,000.00",0.00,0.00,"2,000,000.00","18,976,216.13","19,034,554.94"
69,2145,非公募基金会,2008-01-10,200.00,未参评,"4,645,704.40","3,301,124.00",0.00,"7,946,828.40","2,158,078.97","2,160,343.97"
70,2762,非公募基金会,2008-07-29,200.00,未参评,"5,950,000.00",0.00,0.00,"5,950,000.00","3,016,860.59","3,727,128.59"
71,4994,非公募基金会,2016-02-03,200.00,--,"484,872.00",0.00,"450,872.00","34,000.00","2,419,914.86","2,419,914.86"
72,2224,非公募基金会,2007-11-27,200.00,未参评,0.00,0.00,0.00,0.00,"2,188,171.33","2,342,468.37"
73,3747,非公募基金会,2014-03-31,200.00,未参评,0.00,0.00,0.00,0.00,"1,620,710.33","1,927,549.44"
74,3092,公募基金会,2012-12-05,400.00,3A,"6,512,000.00",0.00,0.00,"6,512,000.00","10,441,711.01","10,441,711.01"
75,4099,非公募基金会,2014年11月14日,300.0,未参评,0.0,0.0,0.0,0.0,1638998.24,1639074.78
76,33,非公募基金会,2003年10月31日,300.0,未参评,300000.0,0.0,0.0,300000.0,11843512.63,11843512.63
77,380,公募基金会,2005-03-23,400.00,未参评,"2,927,500.00",0.00,0.00,"2,927,500.00","11,604,429.46","15,823,017.46"
78,4075,非公募基金会,2014年10月21日,200.0,未参评,2670000.0,0.0,1670000.0,1000000.0,20038715.64,59727378.29
79,2110,非公募基金会,2013-03-26,200.00,未参评,"42,500.00","2,130,000.00","2,130,000.00","42,500.00","2,082,799.63","2,082,799.63"
80,55,公募基金会,2005年03月17日,450.0,未参评,400000.0,0.0,0.0,400000.0,5723757.9,5723757.9
81,4339,非公募基金会,2015年02月15日,300.0,未参评,0.0,12894785.56,9120456.32,3774329.24,17680162.84,17731181.59
82,1835,公募基金会,2010-04-22,500.00,1A,"7,721,850.00",0.00,"7,721,850.00",0.00,"16,381,285.91","16,381,285.91"
83,2482,公募基金会,2008-03-02,400.00,未参评,0.00,0.00,0.00,0.00,"4,360,803.79","4,360,803.79"
84,3129,非公募基金会,2010-12-06,200.00,3A,"4,474,844.19",0.00,"3,133,326.56","1,341,517.63","10,173,212.31","10,173,212.31"
85,1183,非公募基金会,2012-07-09,200.00,未参评,"8,446,749.46",0.00,"8,446,749.46",0.00,"33,324,794.55","33,324,794.55"
86,1160,非公募基金会,2009-05-25,300.00,未参评,"3,777,332.92",0.00,"381,982.92","3,395,350.00","80,302,088.38","80,332,088.38"
87,3022,公募基金会,2013-01-04,400.00,未参评,"8,099,188.40",0.00,"7,990,865.36","108,323.04","5,010,236.16","5,010,236.16"
88,2071,公募基金会,1994-06-04,400.00,5A,"51,271.00",0.00,"50,000.00","1,271.00","12,917,760.67","30,785,327.66"
89,137,公募基金会,1992年01月30日,1500.0,未参评,300000.0,0.0,0.0,300000.0,81481628.17,83667161.88
90,4486,非公募基金会,2010-05-26,200.00,未参评,"396,449.57","1,000,644.00",0.00,"1,397,093.57","2,667,092.02","2,771,322.02"
91,5205,非公募基金会,2016年09月22日,200.0,--,0.0,0.0,0.0,2000000.0,2002111.33,2002111.33
92,257,公募基金会,1993-08-31,800.00,1A,0.00,0.00,0.00,0.00,"9,387,371.07","9,387,371.07"
93,107,公募基金会,1991年01月02日,400.0,未参评,0.0,0.0,0.0,600000.0,21816550.97,22229489.06
94,4475,公募基金会,2015-05-22,"19,000.00",未参评,"358,844,601.33",0.00,"338,844,406.00","20,000,195.33","548,279,013.07","552,287,418.80"
95,3820,非公募基金会,2014-05-27,"2,000.00",未参评,"1,000,000.00",0.00,0.00,"1,000,000.00","18,177,741.78","18,177,741.78"
96,82,公募基金会,1992年06月06日,680.0,未参评,0.0,0.0,0.0,0.0,10403808.3,11043608.3
97,2979,公募基金会,2012-02-08,481.00,未参评,"79,500.00",0.00,"79,500.00",0.00,"5,737,984.20","5,837,473.31"
98,2108,非公募基金会,2012-12-03,200.00,未参评,0.00,0.00,0.00,0.00,"2,216,766.39","2,216,766.39"
99,5110,公募基金会,2016-05-19,500.00,--,"7,592,648.00","20,475,260.00","100,000.00","27,967,908.00","9,514,527.78","9,514,527.78"
100,889,公募基金会,2004-10-21,400.00,--,0.00,"379,052.70",0.00,"379,052.70","12,110,290.69","12,110,290.69"
101,81,公募基金会,2003年12月25日,3000.0,5A,60973926.4,0.0,0.0,60973926.4,147630422.06,147636611.3
102,61,公募基金会,2012年06月04日,400.0,未参评,11002300.0,0.0,2250000.0,8752300.0,37834883.42,38808819.47
103,947,公募基金会,2011-06-24,400.00,3A,"234,000.00",0.00,0.00,"234,000.00","4,165,535.56","4,165,535.56"
104,3408,非公募基金会,2006-03-01,200.00,2A,0.00,0.00,0.00,0.00,"2,133,414.76","2,161,414.76"
105,4188,非公募基金会,2014-08-14,500.00,未参评,"50,000.00","350,000.00",0.00,"400,000.00","4,686,888.98","4,820,708.98"
106,2075,公募基金会,1993-06-07,500.00,5A,"18,106,095.83",0.00,"18,106,095.83",0.00,"53,641,938.63","53,672,085.84"
107,1173,公募基金会,1985-08-01,500.00,未参评,0.00,0.00,0.00,0.00,"5,953,889.25","5,953,889.25"
108,3496,非公募基金会,2014-12-08,200.00,未参评,"259,100.00",0.00,"121,000.00","138,100.00","4,883,119.96","4,885,119.96"
109,3617,非公募基金会,2013-10-15,200.00,3A,"1,500,000.00",0.00,0.00,"1,500,000.00","4,424,228.55","4,429,473.87"
110,2497,公募基金会,2008-06-26,400.00,未参评,"124,000.00",0.00,0.00,"124,000.00","478,810.71","593,810.71"
111,4200,非公募基金会,2014-12-24,200.00,未参评,"2,604,999.16",0.00,"844,999.16","1,760,000.00","3,979,857.74","3,979,857.74"
112,1102,非公募基金会,1994-06-24,200.00,1A,"133,000.00",0.00,0.00,"133,000.00","2,004,999.37","2,004,999.37"
113,23,,2013年01月04日,200万元,未参评,3200000.0,0.0,0.0,3200000.0,2516841.9,2516841.9
114,23,非公募基金会,2013年01月04日,200.0,,3200000.0,0.0,0.0,3200000.0,2516841.9,2516841.9
115,2939,非公募基金会,2010-05-07,200.00,3A,"32,347,169.85",0.00,"32,347,169.85",0.00,"38,446,727.46","38,446,727.46"
116,5560,非公募基金会,2016-09-14,200.00,--,"200,000.00",0.00,"200,000.00",0.00,"2,202,051.56","2,202,351.56"
117,4403,非公募基金会,2015-03-09,200.00,--,50.00,0.00,0.00,50.00,"-2,903,759.52","350,853.73"
118,974,公募基金会,2010-04-15,400.00,未参评,0.00,0.00,0.00,0.00,"6,792,767.05","6,792,767.05"
119,1065,公募基金会,2005-01-25,400.00,未参评,"1,092,601.00",0.00,0.00,"1,092,601.00","5,821,035.82","5,821,035.82"
120,2202,非公募基金会,2013-04-03,200.00,未参评,"14,152,900.00",0.00,"12,055,000.00","2,097,900.00","15,614,602.44","15,614,602.44"
121,3192,非公募基金会,2010-11-02,"16,000.00",--,0.00,0.00,0.00,0.00,0.00,0.00
122,4290,非公募基金会,2015-01-19,"5,000.00",未参评,"32,834,713.70",0.00,"15,395,900.00","17,438,813.70","50,004,200.52","51,532,618.62"
123,218,公募基金会,2007-08-28,800.00,3A,"13,748,000.00",0.00,"12,090,000.00","1,658,000.00","36,294,001.13","47,645,658.37"
124,5043,非公募基金会,2016年07月11日,200.0,--,2012366.18,0.0,0.0,2012366.18,1682678.36,1694953.36
125,888,公募基金会,2011-03-24,400.00,未参评,0.00,0.00,0.00,0.00,"7,157,393.19","7,217,393.19"
126,4627,非公募基金会,2015年08月13日,200.0,未参评,5989480.9,0.0,610580.0,5378900.9,10835325.25,10835325.25
127,1867,非公募基金会,2012-03-16,"2,000.00",未参评,"1,500,000.00",0.00,0.00,"1,500,000.00","21,095,227.25","21,102,147.25"
128,5508,非公募基金会,2016年12月30日,200.0,--,0.0,0.0,0.0,0.0,0.0,0.0
129,3250,非公募基金会,2009-06-03,200.00,未参评,0.00,0.00,0.00,0.00,"1,948,744.93","1,948,744.93"
130,3005,公募基金会,2006-01-26,400.00,4A,"1,421,274.06",0.00,0.00,"1,421,274.06","4,331,087.90","4,567,512.05"
131,18,非公募基金会,1992年06月19日,400.0,5A,0.0,0.0,0.0,20590000.0,103115272.59,103117809.12
132,4361,非公募基金会,2015-03-02,"5,000.00",未参评,"21,400,000.00",0.00,0.00,"21,400,000.00","50,039,361.74","50,039,361.74"
133,2047,非公募基金会,2012-05-10,200.00,4A,"7,854,411.62",0.00,"7,184,136.72","670,274.90","11,575,586.45","13,093,221.24"
134,2089,非公募基金会,2013-03-26,200.00,未参评,"662,148.87",0.00,0.00,"662,148.87","2,096,667.15","2,106,667.15"
135,64,公募基金会,1992年06月19日,500.0,--,0.0,0.0,0.0,0.0,0.0,0.0
136,2322,非公募基金会,2013-08-02,300.00,未参评,"8,445,189.86",0.00,"8,445,189.86",0.00,"22,875,866.30","22,886,042.30"
137,1116,公募基金会,2007-09-06,402.00,未参评,"320,000.00",0.00,0.00,"320,000.00","21,185,968.24","21,216,441.24"
138,2149,公募基金会,2012-06-15,400.00,未参评,"200,000.00",0.00,0.00,"200,000.00","1,450,829.03","1,646,729.39"
139,4368,非公募基金会,2015-03-06,200.00,未参评,"4,985,691.80",0.00,"3,578,585.95","1,407,105.85","4,513,501.67","4,611,900.75"
140,146,非公募基金会,2008年10月31日,500.0,未参评,31074542.38,0.0,0.0,31074542.38,73802678.89,73821170.08
141,3538,非公募基金会,2013-08-30,"3,600.00",未参评,"3,700,000.00","120,120.00",0.00,"3,820,120.00","36,311,700.40","36,315,081.09"
142,4448,非公募基金会,2015年05月13日,200.0,未参评,609988.3,0.0,0.0,609988.3,1351075.53,1351105.53
143,345,公募基金会,2005-09-14,400.00,--,0.00,0.00,0.00,0.00,"2,782,347.08","2,857,057.94"
144,3307,非公募基金会,2009-11-30,530.00,未参评,0.00,0.00,0.00,0.00,"3,322,295.47","3,612,295.47"
145,350,非公募基金会,2010-02-10,200.00,3A,"500,000.00",0.00,0.00,"500,000.00","2,675,737.87","3,025,607.56"
146,62,非公募基金会,2007年12月28日,500.0,4A,44868139.84,0.0,44805959.84,62180.0,249916452.8,256849520.08
147,1066,非公募基金会,2007-11-07,200.00,3A,"170,000.00",0.00,0.00,"170,000.00","2,304,857.58","2,304,857.58"
148,3751,非公募基金会,2014-04-08,200.00,未参评,"765,190.80","775,000.00","1,515,840.80","24,350.00","2,216,956.96","2,319,424.52"
149,5627,非公募基金会,2016-09-02,200.00,--,"2,000,000.00",0.00,0.00,"2,000,000.00","1,800,000.00","1,807,156.00"
150,4711,非公募基金会,2015-09-18,200.00,未参评,"819,471.70",0.00,"749,823.18","69,648.52","2,229,089.25","2,462,330.54"
151,2208,非公募基金会,2010-12-23,300.00,未参评,"16,349,346.47",0.00,"5,652,258.25","10,697,088.22","26,305,838.08","26,305,838.08"
152,3188,非公募基金会,2010-08-24,"2,000.00",未参评,0.00,0.00,0.00,0.00,"27,196,486.25","27,196,486.25"
153,2506,非公募基金会,2010-09-17,200.00,未参评,"347,470.71",0.00,0.00,"347,470.71","7,909,041.59","7,909,041.59"
154,2251,公募基金会,2004-06-28,400.00,未参评,0.00,0.00,0.00,0.00,"5,042,739.63","5,042,739.63"
155,3589,公募基金会,2013-09-03,800.00,--,"2,000,000.00",0.00,0.00,"2,000,000.00","12,299,887.21","12,299,887.21"
156,4672,非公募基金会,2015年09月07日,200.0,未参评,160000.0,0.0,0.0,160000.0,2002073.97,2002073.97
157,3160,非公募基金会,2003-02-20,"4,000.00",2A,"3,000,000.00",0.00,0.00,"3,000,000.00","46,138,201.13","46,142,544.48"
158,332,公募基金会,2005-09-27,400.00,4A,"6,536,019.10",0.00,0.00,"6,536,019.10","124,290,886.88","124,290,886.88"
159,53,非公募基金会,2007年03月14日,200.0,未参评,0.0,366905.81,0.0,366905.81,2275635.64,2275635.64
160,2869,非公募基金会,2007-06-26,"2,000.00",3A,"580,525,859.87",0.00,"9,907,432.89","570,618,426.98","1,022,740,073.35","1,023,944,917.50"
161,2934,公募基金会,2006-09-28,523.00,未参评,0.00,0.00,0.00,0.00,"12,470,613.01","12,470,613.01"
162,1834,非公募基金会,2008-07-16,"10,000.00",4A,0.00,0.00,0.00,0.00,"103,671,827.05","103,809,323.28"
163,2363,公募基金会,2013-11-15,400.00,未参评,0.00,0.00,0.00,0.00,"7,278,131.69","7,278,131.69"
164,472,非公募基金会,2012-11-08,"5,000.00",未参评,"5,501,085.53",0.00,0.00,"5,501,085.53","51,075,183.85","51,075,183.85"
165,2772,非公募基金会,2007-06-01,200.00,4A,"492,146.00",0.00,0.00,"492,146.00","7,879,478.13","11,088,202.15"
166,1643,公募基金会,2012-12-28,400.00,未参评,"305,000.00",0.00,0.00,"305,000.00","5,174,737.46","7,570,625.97"
167,3089,非公募基金会,2010-06-12,400.00,3A,"2,000,000.00",0.00,"2,000,000.00",0.00,"4,685,651.40","4,685,651.40"
168,2264,公募基金会,2011-12-01,400.00,3A,0.00,0.00,0.00,0.00,"13,277,906.74","13,341,827.34"
169,2998,非公募基金会,2006-10-08,200.00,4A,"3,429,937.40",0.00,0.00,"3,429,937.40","10,477,803.99","10,480,562.82"
170,3028,非公募基金会,2009-07-29,200.00,4A,"191,567.10",0.00,"191,567.10",0.00,"10,588,590.41","10,588,590.41"
171,3802,非公募基金会,2014-04-29,200.00,未参评,0.00,"200,000.00",0.00,"200,000.00","2,023,000.00","2,023,000.00"
172,315,非公募基金会,2011-07-18,200.00,未参评,0.00,0.00,0.00,0.00,"2,204,978.46","2,294,035.41"
173,116,非公募基金会,2010年02月09日,300.0,未参评,2382196.8,0.0,0.0,2382196.8,30355245.13,32620741.04
174,1088,公募基金会,2009-07-27,400.00,4A,"811,471.75","1,472,900.00","743,511.56","1,540,860.19","4,469,877.35","4,469,877.35"
175,2925,公募基金会,2012-07-10,592.00,未参评,"200,000.00",0.00,"200,000.00",0.00,"6,383,642.18","7,769,942.18"
176,2218,非公募基金会,2009-12-03,200.00,未参评,"5,020,925.04",0.00,"4,000,000.00","1,020,925.04","10,854,079.17","10,854,079.17"
177,2977,公募基金会,2008-06-30,630.00,3A,"450,200.00",0.00,"450,200.00",0.00,"13,989,060.11","13,989,085.25"
178,1054,公募基金会,2006-03-02,"1,600.00",5A,"26,034,672.18",0.00,"26,024,870.18","9,802.00","59,460,244.89","59,460,244.89"
179,4488,非公募基金会,2015年06月03日,500.0,未参评,1000000.0,0.0,200000.0,800000.0,5272346.49,5272346.49
180,3544,非公募基金会,2013年08月09日,200.0,未参评,7029495.88,0.0,4301195.88,76000.0,2346528.97,4228853.69
181,698,非公募基金会,2012-05-09,"2,000.00",3A,"49,886,887.41","105,683.93","32,231,708.88","17,760,862.46","94,518,612.39","94,558,612.39"
182,47,非公募基金会,2013年12月10日,200.0,未参评,2700000.0,0.0,0.0,2700000.0,5088973.22,5138973.22
183,3276,公募基金会,2012-10-25,400.00,未参评,"319,950.00",0.00,0.00,"319,950.00","4,474,932.87","5,020,790.07"
184,134,非公募基金会,2008年10月22日,200.0,未参评,0.0,50000.0,0.0,50000.0,2175920.09,2177920.09
185,4810,非公募基金会,2015年11月25日,200.0,未参评,979714.0,0.0,0.0,979714.0,2930146.34,2930146.34
186,468,非公募基金会,2007-03-01,"5,000.00",3A,0.00,0.00,0.00,0.00,"53,162,954.94","53,178,859.70"
187,1638,公募基金会,1995-03-06,400.00,5A,"4,276,545.33","5,595,393.40","9,461,938.73","410,000.00","29,713,992.88","29,912,753.21"
188,1107,非公募基金会,2007-02-06,200.00,4A,0.00,0.00,0.00,0.00,"2,085,986.01","2,085,986.01"
189,2682,公募基金会,2005-11-28,400.00,未参评,"2,098,409.50",0.00,"1,348,409.50","750,000.00","131,110,716.76","131,510,716.76"
190,2687,非公募基金会,2012-02-16,220.00,3A,"5,455,101.80",0.00,0.00,"5,455,101.80","16,713,995.41","16,714,115.41"
191,4267,公募基金会,2014-12-15,400.00,未参评,"4,500.00","5,308,806.00","5,308,806.00","4,500.00","4,017,843.77","4,017,843.77"
192,290,公募基金会,2009-12-15,400.00,未参评,"1,276,000.00",0.00,0.00,"1,276,000.00","4,119,121.62","4,192,121.62"
193,4591,非公募基金会,2015年07月24日,200.0,未参评,500000.0,0.0,89.8,500000.0,2204417.98,2204417.98
194,3792,非公募基金会,2014-04-14,"5,000.00",未参评,"12,988,663.79",0.00,0.00,"12,988,663.79","58,537,754.10","59,386,473.55"
195,118,公募基金会,2007年12月28日,400.0,未参评,582760.0,0.0,0.0,582760.7,13633789.44,13633789.44
196,1637,公募基金会,2010-12-28,400.00,5A,"3,857,564.50","68,816.26",0.00,"3,926,380.76","10,436,138.37","10,436,138.37"
197,1822,公募基金会,1998-07-28,400.00,未参评,"1,000,000.00",0.00,0.00,"1,000,000.00","16,311,792.33","16,327,881.82"
198,3202,公募基金会,2006-09-15,400.00,--,"18,964.00",0.00,"2,964.00","16,000.00","3,768,869.77","3,824,919.77"
199,4906,非公募基金会,2015-12-25,206.66,未参评,"7,804,424.00",0.00,0.00,"7,804,424.00","9,572,563.78","9,796,142.78"
200,5059,非公募基金会,2016年07月27日,200.0,--,0.0,0.0,0.0,0.0,0.0,0.0
201,1055,公募基金会,2004-09-03,400.00,未参评,"962,207.53",0.00,"784,207.53","178,000.00","20,206,082.29","20,223,420.39"
202,1077,非公募基金会,2007-09-28,200.00,3A,0.00,0.00,0.00,0.00,"3,722,139.26","3,722,139.26"
203,4942,非公募基金会,2016年03月18日,500.0,--,5511035.4,0.0,511035.4,5000000.0,4896138.26,4897281.12
204,3450,非公募基金会,2008-11-27,200.00,1A,"160,000.00",0.00,0.00,"160,000.00","2,040,675.34","2,040,675.34"
205,3947,公募基金会,2014-08-05,400.00,未参评,"90,135.60",0.00,"90,135.60",0.00,"4,014,064.81","4,014,064.81"
206,4666,非公募基金会,2015-08-18,200.00,未参评,"61,000.00",0.00,0.00,"61,000.00","1,670,260.15","1,670,260.15"
207,3,非公募基金会,2008-09-04,"5,000.00",3A,"89,024,446.10",0.00,"9,024,026.10","80,000,420.00","201,413,750.05","201,419,750.05"
208,3421,公募基金会,2007-06-27,400.00,4A,"2,101,888.60",0.00,"1,000,000.00","1,101,888.60","5,016,042.34","5,021,228.64"
209,4900,非公募基金会,2015年12月29日,200.0,--,0.0,0.0,0.0,0.0,0.0,0.0
210,3931,非公募基金会,2014-07-25,200.00,未参评,"511,517.70",0.00,0.00,"511,517.70","2,195,087.80","2,195,087.80"
211,138,公募基金会,2001年10月23日,5000.0,5A,4203000.0,0.0,0.0,4203000.0,92503473.3,92612731.3
212,2689,非公募基金会,2013-08-05,200.00,未参评,0.00,0.00,0.00,0.00,"2,181,632.09","2,195,823.69"
