,ricf_oid,ba_ntr,doi_1,ba_fdt_o,ba_fnd_r
179,4488,1,1000000.0,2.0,5000000.0
180,3544,1,4377195.88,4.0,2000000.0
181,698,1,49992571.34,5.0,20000000.0
182,47,1,2700000.0,4.0,2000000.0
183,3276,0,319950.0,5.0,4000000.0
184,134,1,50000.0,9.0,2000000.0
185,4810,1,979714.0,2.0,2000000.0
186,468,1,0.0,10.0,50000000.0
187,1638,0,9871938.73,22.0,4000000.0
188,1107,1,0.0,10.0,2000000.0
189,2682,0,2098409.5,12.0,4000000.0
190,2687,1,5455101.8,5.0,2200000.0
191,4267,0,5313306.0,3.0,4000000.0
192,290,0,1276000.0,8.0,4000000.0
193,4591,1,500089.8,2.0,2000000.0
194,3792,1,12988663.79,3.0,50000000.0
195,118,0,582760.7,10.0,4000000.0
196,1637,0,3926380.76,7.0,4000000.0
197,1822,0,1000000.0,19.0,4000000.0
198,3202,0,18964.0,11.0,4000000.0
199,4906,1,7804424.0,2.0,2066600.0
200,5059,1,0.0,1.0,2000000.0
201,1055,0,962207.53,13.0,4000000.0
202,1077,1,0.0,10.0,2000000.0
203,4942,1,5511035.4,1.0,5000000.0
204,3450,1,160000.0,9.0,2000000.0
205,3947,0,90135.6,3.0,4000000.0
206,4666,1,61000.0,2.0,2000000.0
207,3,1,89024446.1,9.0,50000000.0
208,3421,0,2101888.6,10.0,4000000.0
209,4900,1,0.0,2.0,2000000.0
210,3931,1,511517.7,3.0,2000000.0
211,138,0,4203000.0,16.0,50000000.0
212,2689,1,0.0,4.0,2000000.0
213,2245,1,0.0,10.0,10000000.0
214,298,1,0.0,6.0,5000000.0
215,2299,1,0.0,4.0,2000000.0
216,37,1,894833.5,5.0,2000000.0
217,3650,0,383132.27,3.0,4000000.0
218,4306,0,180000.0,2.0,15000000.0
219,5230,1,2000000.0,1.0,2000000.0
220,4573,1,2370320.0,2.0,10110000.0
221,2185,1,0.0,9.0,3800000.0
222,4292,1,0.0,2.0,2000000.0
223,2923,0,4083929.1,7.0,4000000.0
224,690,1,43021598.769999996,7.0,20000000.0
225,3009,1,1610130.2,5.0,5000000.0
226,3719,0,102200.0,3.0,4000000.0
227,223,0,3647332.0,9.0,8000000.0
228,2924,1,11711206.0,5.0,20000000.0
229,1101,0,7369268.39,20.0,4000000.0
230,2123,1,0.0,7.0,4000000.0
231,2476,0,150000.0,11.0,4000000.0
232,3212,0,50000.0,22.0,7100000.0
233,5127,1,2000000.0,1.0,2000000.0
234,2313,0,3100000.0,6.0,4000000.0
235,347,0,3532000.0,29.0,4000000.0
236,1189,1,27651485.66,6.0,50000000.0
237,1808,0,212224.21,14.0,4000000.0
238,1636,0,50750000.0,8.0,8000000.0
239,1404,0,324420.0,4.0,4000000.0
240,2926,0,0.0,6.0,8000000.0
241,130,1,12078575.0,9.0,2440000.0
242,402,1,1803721.77,4.0,2000000.0
243,5235,1,4000000.0,1.0,4000000.0
244,2963,0,328226.76,5.0,4000000.0
245,1180,0,6833600.0,16.0,5460000.0
246,2056,1,328500.0,12.0,5000000.0
247,2069,0,16256.76,6.0,4000000.0
248,2691,1,0.0,5.0,2000000.0
249,2293,0,5397665.34,22.0,4000000.0
250,4966,1,2275000.0,1.0,2000000.0
251,5058,1,5000000.0,1.0,5000000.0
252,3219,1,140000.0,7.0,2000000.0
253,3333,0,14219495.01,29.0,4950000.0
254,2204,1,6808200.0,5.0,2000000.0
255,2318,1,630.0,7.0,10000000.0
256,99,1,8326826.53,9.0,2000000.0
257,2672,1,27000.0,5.0,2000000.0
258,88,1,1807690.0,13.0,2000000.0
259,1179,0,0.0,22.0,4600000.0
260,4187,0,1840590.0,3.0,4000000.0
261,2872,0,202900.0,5.0,4000000.0
264,3267,0,0.0,10.0,4000000.0
265,2829,1,125000.0,10.0,2000000.0
266,265,0,890974.22,22.0,18500000.0
267,946,1,232000.0,24.0,2000000.0
268,2701,0,360673.58,27.0,4000000.0
269,4433,1,10784606.56,2.0,2000000.0
270,563,1,570496650.7,22.0,20000000.0
271,2292,0,12237638.620000001,32.0,4000000.0
