,ricf_oid,ba_cn,ba_nfe,ba_hr,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine,fa_dinu,cf_govc,fp_tt_end,Government-Link,Scope
333,877,厦门眼科中心光明基金会,0.0,,0.0,0.0,非公募,2007年01月15日,,未参评,0,16700000,0.00,"12,074,925.53",GLF,Regional
334,880,厦门观音寺慈善基金会,4.0,,0.0,0.0,非公募,2010年11月24日,,未参评,301600,123843.5,0.00,"2,602,123.4",NGF,Regional
335,882,友成企业家扶贫基金会,24.0,,0.0,0.0,非公募,2007年03月01日,,4A,42752588.76,1639,0.00,"196,261,346.59",NGF,National
336,887,台州市老年事业发展基金会,3.0,,0.0,0.0,公募,2011年07月10日,,3A,0,0,"220,000.00","15,232,341.17",GLF,Regional
337,902,吉林大学唐敖庆教育基金会,8.0,,0.0,0.0,非公募,2009年05月15日,,4A,"50,000.00",0.00,0.00,"11,600,069.98",GLF,Regional
338,903,吉林大学教育基金会,8.0,,0.0,0.0,,1997年04月18日,,3A,127366149.7,1598779,0.00,"265,670,088.51",GLF,Regional
339,905,吉林市公安民警优抚基金会,2.0,,3.0,0.0,公募,2011年10月24日,,未参评,0,1000000,"2,000,000.00","8,665,927.24",GLF,Regional
340,906,吉林市白山发电厂爱心救助基金会,0.0,,0.0,0.0,非公募,2012年11月13日,,未参评,0,1245742.6,0.00,"3,052,691.45",NGF,Regional
341,908,吉林师范大学助学基金会,7.0,,0.0,0.0,非公募,2008年01月28日,,4A,1000000,1520075.4,0.00,"8,570,621.04",GLF,Regional
342,909,吉林省康乃尔公益基金会,1.0,,0.0,0.0,非公募,2012年12月01日,,未参评,0,0,0.00,"1,953,979.75",NGF,Regional
343,910,吉林省中东爱心基金会,4.0,,0.0,0.0,非公募,2008年10月07日,,3A,0,330707.2,0.00,"2,009,051.98",NGF,Regional
344,912,吉林省人口福利基金会,3.0,,3.0,0.0,公募,2011年05月04日,,未参评,0,459500,"2,000,000.00","4,276,185.68",GLF,Regional
345,914,吉林省体育事业发展基金会,1.0,,0.0,0.0,非公募,2012年12月25日,,,817000,0,0.00,"5,983,221.2",GLF,Regional
346,915,吉林省公安民警优抚基金会,0.0,,4.0,0.0,公募,2010年07月26日,,,0.00,"2,200,000.00","965,000.00","5,178,852",GLF,Regional
347,916,吉林省农村信用社慈善基金会,0.0,,0.0,0.0,非公募,2013年05月05日,,未参评,0,6964500,0.00,"16,549,944.41",NGF,Regional
348,917,吉林省大禹助学基金会,0.0,,0.0,0.0,非公募,2013年10月09日,,未参评,0,0,0.00,"3,771,714.3",NGF,Regional
349,918,吉林省妇女儿童福利基金会,2.0,,0.0,0.0,公募,1986年03月08日,,,"2,126,512.00","668,690.01",0.00,"6,567,189.41",GLF,Regional
350,920,吉林省延边朝鲜族自治州老龄事业发展基金会,5.0,,0.0,0.0,非公募,2010年01月12日,,未参评,0,100000,"200,000.00","2,536,067.23",GLF,Regional
351,924,吉林省振国健康事业公益基金会,0.0,,0.0,0.0,非公募,2011年08月30日,,未参评,0,700000,0.00,"3,315,008.22",NGF,Regional
352,925,吉林省教育基金会,6.0,,0.0,0.0,公募,1988年06月06日,,3A,0,0,0.00,"22,271,193.58",GLF,Regional
353,928,吉林省残疾人福利基金会,4.0,,0.0,0.0,公募,2001年07月02日,,,0,17418140.68,0.00,"26,977,368.25",GLF,Regional
354,930,吉林省神华社会救助基金会,2.0,,0.0,0.0,非公募,2010年05月26日,,3A,0,6000000,0.00,"10,452,180.57",NGF,Regional
355,931,吉林省绿化基金会,0.0,,4.0,0.0,公募,1994年07月15日,,未参评,0,390200,0.00,"4,126,521.54",GLF,Regional
356,932,吉林省老龄事业发展基金会,10.0,,0.0,0.0,公募,1992年06月05日,,未参评,0,1000000,"1,064,389.07","18,428,473.17",GLF,Regional
357,934,吉林省见义勇为基金会,4.0,,1.0,1.0,公募,1996年09月15日,,3A,0,4592430.76,"650,000.00","19,865,040.25",GLF,Regional
358,936,吉林省青年创业就业基金会,1.0,,0.0,0.0,公募,2009年08月31日,,未参评,3000000,0,"3,000,000.00","7,683,008.29",GLF,Regional
359,942,吴作人国际美术基金会,5.0,,0.0,1.0,非公募,1989年08月30日,,1A,2875646,1000000,0.00,"13,800,481.33",NGF,National
360,945,吴阶平医学基金会,10.0,,0.0,0.0,非公募,2002年01月01日,,3A,82892917.58,0,0.00,"58,341,935.36",GLF,National
361,946,周培源基金会,5.0,,0.0,0.0,非公募,1993年03月15日,,2A,200000,624961.5,0.00,"13,590,657.17",NGF,National
362,980,四川大学教育基金会,14.0,,0.0,0.0,非公募,2010年04月22日,,4A,46520759.38,0,0.00,"143,189,089.8",GLF,National
363,1035,四平市公安民警优抚基金会,0.0,,3.0,0.0,非公募,2013年05月17日,,,0.00,"550,000.00",0.00,"3,078,594.1",GLF,Regional
364,1036,国家电网公益基金会,1.0,,0.0,0.0,非公募,2009年03月12日,,3A,20200000,0,0.00,"147,468,518.7",NGF,National
365,1037,增爱公益基金会,7.0,,0.0,0.0,非公募,2012年08月07日,,未参评,803031.58,10973889.8,"1,000,000.00","123,829,121.73",NGF,National
366,1038,复旦管理学奖励基金会,0.0,,0.0,0.0,非公募,2005年09月22日,,未参评,0,0,0.0,113163556.24,GLF,Regional
367,1045,大连市公安民警救助基金会,2.0,,0.0,0.0,公募,2012年10月22日,,未参评,0,7691200,0.00,"13,543,133.57",GLF,Regional
368,1046,大连市妇女儿童发展基金会,4.0,,0.0,0.0,公募,2011年09月09日,,4A,1260363.8,1241088.4,0.00,"7,983,865.2",GLF,Regional
369,1047,大连市教育基金会,6.0,,0.0,0.0,公募,2008年03月24日,,3A,0,5183000,0.00,"13,546,301.06",GLF,Regional
370,1048,大连市残疾人福利基金会,4.0,,0.0,0.0,公募,2006年06月20日,,4A,2135200,73079,0.00,"5,326,578.56",GLF,Regional
371,1049,大连市永嘉防震减灾慈善基金会,0.0,,0.0,0.0,非公募,2010年12月18日,,未参评,0,0,0.00,"11,976,845.29",GLF,Regional
372,1050,大连市洁华艺术人才基金会,0.0,,0.0,0.0,非公募,2004年11月15日,,未参评,0,0,0.00,"1,677,293.22",GLF,Regional
373,1051,大连市职工慈善基金会,3.0,,0.0,0.0,公募,2012年04月26日,,未参评,0,2814000,0.00,"10,370,201.89",GLF,Regional
374,1052,大连市见义勇为基金会,7.0,,0.0,0.0,公募,1993年05月04日,,未参评,0,200000,0.00,"23,857,208.4",GLF,Regional
375,1053,大连市青少年发展基金会,7.0,,0.0,0.0,公募,2005年10月25日,,5A,18372953.49,248970.94,0.00,"30,573,713.84",GLF,Regional
376,1054,大连慈善基金会,13.0,,0.0,1.0,公募,2006年03月02日,,5A,42050333.39,19631.3,0.00,"63,814,067.82",GLF,Regional
377,1056,天合公益基金会,3.0,,0.0,1.0,非公募,2012年04月17日,,未参评,0,0,0.00,"54,758,443.74",GLF,National
