,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
191,1636,广西民族教育发展基金会,6,0,0,1.0,2009-04-22,13.0,5,0.0,50750000.0,0.0,17250.33,1,0,Guangxi,6.0,5075.0,00
193,2926,葫芦岛市见义勇为基金会,5,0,0,1.0,2011-11-24,25.0,4,0.0,0.0,0.0,835.83,1,0,Liaoning,4.0,0.0,00
194,130,上海特殊关爱基金会,3.0,0,0.0,0.0,2008年07月31日,15.0,4,7078575.0,5000000.0,0.0,1879.05,0,0,Shanghai,7.0,1207.86,00.0
196,2963,贵州省六盘水市见义勇为基金会,3,2,0,1.0,2012-03-05,16.0,4,328226.76,0.0,20.0,1457.25,1,0,Guizhou,3.0,32.82,20
198,2056,河北省撒可富教育基金会,0,0,0,0.0,2005-06-13,5.0,4,0.0,328500.0,0.0,1762.39,0,0,Hebei,10.0,32.85,00
199,2069,河北省老年事业发展基金会,11,0,0,1.0,2011-05-31,8.0,5,0.0,16256.76,0.0,442.93,1,0,Hebei,4.0,1.63,00
202,3219,陕西省黄土地陕北民歌发展基金会,3,0,0,0.0,2010-01-06,5.0,3,0.0,140000.0,0.0,210.07,1,0,Shaanxi,5.0,14.0,00
203,3333,黑龙江省青少年发展基金会,15,3,0,1.0,1988-08-17,18.0,5,14219495.01,0.0,0.0,2730.79,1,0,Heilongjiang,27.0,1421.95,30
205,2318,浙江福泰隆慈善基金会,3,0,0,0.0,2010-12-15,7.0,3,0.0,630.0,0.0,1937.06,0,0,Zhejiang,5.0,0.06,00
206,99,上海师范大学教育发展基金会,0.0,0,0.0,0.0,2008年10月09日,18.0,4,0.0,8326826.53,0.0,3411.58,1,0,Shanghai,7.0,832.68,00.0
