,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
3,379,传媒大学教育基金会,16793400.0,1,5,0.0,1,00,76188189.52,8.0,17.0,1,0.0,Beijing
6,3001,辽宁省体育基金会,0.0,4,6,0.0,1,00,27169056.29,26.0,5.0,0,1.0,Liaoning
10,250,中国煤矿尘肺病防治基金会,14584949.440000001,4,14,1200000.0,1,01,46538508.0,12.0,8.0,1,1.0,Hebei
11,1147,宁夏回族自治区燕宝慈善基金会,161624702.0,5,12,0.0,0,01,15675323.18,5.0,5.0,0,0.0,Ningxia
15,59,上海市儿童健康基金会,10941224.520000001,5,0.0,0.0,0,00.0,25854627.97,23.0,22.0,0,1.0,Shanghai
18,3012,辽宁省大连海洋大学教育发展基金会,500000.0,4,2,0.0,1,00,3369012.57,5.0,25.0,0,0.0,Liaoning
19,3164,陕西九九老龄事业基金会,0.0,3,5,0.0,0,00,34036397.74,4.0,5.0,0,0.0,Shaanxi
24,244,中国残疾人福利基金会,550817133.67,5,56,3000000.0,1,01,823283981.17,31.0,20.0,1,1.0,Beijing
27,1060,天津外国语大学教育发展基金会,6446308.68,3,1,0.0,1,00,8413038.89,10.0,8.0,0,0.0,Tianjin
29,1315,山西省代县雁门济困助学教育基金会,0.0,3,0,0.0,1,00,12364324.66,3.0,9.0,0,0.0,Shanxi
31,2684,瑞安市社会组织发展基金会,60000.0,4,1,20000.0,1,00,4867879.98,2.0,6.0,0,0.0,Zhejiang
34,3216,陕西省青少年发展基金会,21052275.47,4,10,0.0,1,00,11634654.35,4.0,20.0,0,1.0,Shaanxi
40,1774,昆明市见义勇为基金会,100000.0,3,2,1555000.0,1,30,12658832.11,12.0,25.0,0,1.0,Yunnan
45,2057,河北省教育基金会,868983.5,4,2,0.0,1,00,2714521.72,19.0,9.0,0,0.0,Hebei
48,1255,宝鸡市残疾人福利基金会,5914845.32,4,3,400000.0,1,00,8629459.77,5.0,25.0,0,1.0,Shaanxi
49,252,中国牙病防治基金会,3024595.36,3,1,1100000.0,1,00,9942333.93,21.0,25.0,1,1.0,Beijing
50,179,中华全国体育基金会,69419626.58,4,4,0.0,1,21,1086875103.55,21.0,19.0,1,1.0,Beijing
51,1324,山西省合创爱心助困基金会,200000.0,4,0,0.0,0,00,2179516.65,8.0,6.0,0,0.0,Shanxi
52,19,上海交通大学教育发展基金会,275234564.76,5,14.0,0.0,1,00.0,1269724262.77,10.0,15.0,0,0.0,Shanghai
58,3092,重庆市武隆县扶贫基金会,6512000.0,3,3,0.0,1,00,10441711.01,3.0,15.0,0,1.0,Chongqing
65,1835,桐乡市人民教育基金会,7721850.0,1,1,0.0,1,00,16381285.91,5.0,5.0,0,1.0,Zhejiang
67,3129,长安大学教育基金会,4474844.1899999995,3,3,0.0,1,00,10173212.31,5.0,25.0,0,0.0,Shaanxi
71,2071,河北省见义勇为基金会,51271.0,5,8,0.0,1,00,30785327.66,21.0,18.0,0,1.0,Hebei
73,257,中国益民文化建设基金会,0.0,1,5,0.0,1,00,9387371.07,22.0,12.0,1,1.0,Beijing
80,81,上海市帮困互助基金会,60973926.4,5,10.0,0.0,1,00.0,147636611.3,12.0,18.0,0,1.0,Shanghai
82,947,呼伦贝尔市扶贫基金会,234000.0,3,3,0.0,1,00,4165535.56,4.0,8.0,0,1.0,Neimenggu
83,3408,重庆市急救医疗救助基金会,0.0,2,3,0.0,1,00,2161414.76,9.0,10.0,0,0.0,Chongqing
85,2075,河北省青少年发展基金会,18106095.83,5,9,0.0,1,30,53672085.84,22.0,13.0,0,1.0,Hebei
88,3617,云南杨丽萍民族文化艺术基金会,1500000.0,3,2,0.0,0,00,4429473.87,2.0,5.0,0,0.0,Yunnan
91,1102,天津市青少年科学基金会,133000.0,1,3,0.0,1,00,2004999.37,21.0,8.0,0,0.0,Tianjin
94,2939,西安电子科技大学教育基金会,32347169.85,3,4,0.0,1,00,38446727.46,5.0,13.0,0,0.0,Shaanxi
99,218,中国华夏文化遗产基金会,13748000.0,3,9,0.0,1,00,47645658.37,8.0,8.0,1,1.0,Beijing
103,3005,辽宁省公益基金会,1421274.06,4,3,0.0,1,00,4567512.05,9.0,5.0,0,1.0,Liaoning
104,18,上海交响乐团文化发展基金会,20590000.0,5,2.0,0.0,1,00.0,103117809.12,23.0,7.0,0,0.0,Shanghai
105,2047,河北省佛教慈善基金会,7854411.62,4,8,0.0,1,00,13093221.24,3.0,9.0,0,0.0,Hebei
115,350,云南省视界留学基金会,500000.0,3,0,0.0,1,00,3025607.56,5.0,7.0,0,0.0,Yunnan
116,62,上海市华东师范大学教育发展基金会,44868139.84,4,8.0,0.0,1,00.0,256849520.08,8.0,20.0,0,0.0,Shanghai
117,1066,天津市冬朋助学基金会,170000.0,3,0,0.0,0,00,2304857.58,8.0,7.0,0,0.0,Tianjin
124,3160,陈嘉庚科学奖基金会,3000000.0,2,2,0.0,1,04,46142544.48,12.0,24.0,1,0.0,Beijing
125,332,云南省公安民警英烈基金会,6536019.1,4,3,0.0,1,30,124290886.88,10.0,1.0,0,1.0,Yunnan
127,2869,腾讯公益慈善基金会,580525859.87,3,13,0.0,0,00,1023944917.5,8.0,13.0,1,0.0,Guangdong
129,1834,桃源居公益事业发展基金会,0.0,4,5,0.0,0,00,103809323.28,7.0,7.0,1,0.0,Guangdong
132,2772,福建海西青年创业基金会,492146.0,4,4,0.0,1,00,11088202.15,8.0,7.0,0,0.0,Fujian
134,3089,重庆市卢作孚教育基金会,2000000.0,3,3,0.0,0,01,4685651.4,5.0,9.0,0,0.0,Chongqing
135,2264,浙江省台州市农业技术推广基金会,0.0,3,1,2741000.0,1,00,13341827.34,4.0,24.0,0,1.0,Zhejiang
136,2998,辽宁爱之光防盲基金会,3429937.4,4,7,0.0,0,00,10480562.82,9.0,8.0,0,0.0,Liaoning
137,3028,辽宁省辽宁工程技术大学教育基金会,191567.1,4,7,0.0,1,00,10588590.41,6.0,17.0,0,0.0,Liaoning
141,1088,天津市海河文化发展基金会,2284371.75,4,3,0.0,0,00,4469877.35,6.0,8.0,0,1.0,Tianjin
144,2977,贵州省见义勇为基金会,450200.0,3,5,4300000.0,1,10,13989085.25,7.0,12.0,0,1.0,Guizhou
145,1054,大连慈善基金会,26034672.18,5,13,0.0,1,01,59460244.89,9.0,25.0,0,1.0,Liaoning
147,698,北京科技大学教育发展基金会,49992571.34,3,5,0.0,1,00,94558612.39,3.0,7.0,0,0.0,Beijing
151,468,凯风公益基金会,0.0,3,7,0.0,0,00,53178859.7,8.0,6.0,1,0.0,Beijing
152,1638,广西红十字基金会,9871938.73,5,9,300000.0,1,01,29912753.21,20.0,19.0,0,1.0,Guangxi
153,1107,天津广播电视大学教育发展基金会,0.0,4,1,0.0,1,00,2085986.01,8.0,13.0,0,0.0,Tianjin
155,2687,甘肃兴华青少年助学基金会,5455101.8,3,0,0.0,0,00,16714115.41,3.0,7.0,0,0.0,Gansu
159,1637,广西社会和谐稳定发展基金会,3926380.76,5,9,900000.0,1,10,10436138.37,5.0,18.0,0,1.0,Guangxi
163,1077,天津市宏志教育基金会,0.0,3,0,0.0,0,00,3722139.26,8.0,5.0,0,0.0,Tianjin
164,3450,重庆市星星灾害救助基金会,160000.0,1,4,0.0,0,00,2040675.34,7.0,9.0,0,0.0,Chongqing
166,3,万科公益基金会,89024446.1,3,0,0.0,0,00,201419750.05,7.0,7.0,1,0.0,Guangdong
167,3421,重庆市法律援助基金会,2101888.6,4,4,100000.0,1,00,5021228.64,8.0,23.0,0,1.0,Chongqing
169,138,上海科普教育发展基金会,4203000.0,5,5.0,0.0,1,00.0,92612731.3,14.0,23.0,0,1.0,Shanghai
172,298,乌兰浩特市城乡困难群众大病医疗救助基金会,0.0,3,6,0.0,1,00,15189297.59,4.0,9.0,0,0.0,Neimenggu
178,690,北京理工大学教育基金会,43021598.769999996,4,7,0.0,1,20,174812331.65,5.0,16.0,1,0.0,Beijing
181,223,中国古生物化石保护基金会,3647332.0,3,2,370000.0,1,00,14095148.8,7.0,16.0,1,1.0,Beijing
183,1101,天津市青少年发展基金会,7369268.39,5,5,0.0,1,00,15008854.57,18.0,7.0,0,1.0,Tianjin
186,3212,陕西省西安市老龄事业发展基金会,50000.0,3,3,1959500.0,1,00,17807231.88,20.0,17.0,0,1.0,Shaanxi
187,2313,浙江省革命老区发展基金会,3100000.0,3,0,200000.0,1,00,22332381.21,4.0,10.0,0,1.0,Zhejiang
188,347,云南省老龄事业发展基金会,3532000.0,4,5,0.0,1,01,15451402.68,27.0,24.0,0,1.0,Yunnan
189,1189,安利公益基金会,27651485.66,4,8,0.0,0,00,74622039.91,4.0,17.0,1,0.0,Beijing
191,1636,广西民族教育发展基金会,50750000.0,5,6,0.0,1,00,172503290.16,6.0,13.0,0,1.0,Guangxi
193,2926,葫芦岛市见义勇为基金会,0.0,4,5,0.0,1,00,8358262.41,4.0,25.0,0,1.0,Liaoning
194,130,上海特殊关爱基金会,12078575.0,4,3.0,0.0,0,00.0,18790536.91,7.0,15.0,0,0.0,Shanghai
196,2963,贵州省六盘水市见义勇为基金会,328226.76,4,3,200000.0,1,20,14572512.48,3.0,16.0,0,1.0,Guizhou
198,2056,河北省撒可富教育基金会,328500.0,4,0,0.0,0,00,17623865.84,10.0,5.0,0,0.0,Hebei
199,2069,河北省老年事业发展基金会,16256.76,5,11,0.0,1,00,4429250.52,4.0,8.0,0,1.0,Hebei
202,3219,陕西省黄土地陕北民歌发展基金会,140000.0,3,3,0.0,1,00,2100693.71,5.0,5.0,0,0.0,Shaanxi
203,3333,黑龙江省青少年发展基金会,14219495.01,5,15,0.0,1,30,27307900.45,27.0,18.0,0,1.0,Heilongjiang
205,2318,浙江福泰隆慈善基金会,630.0,3,3,0.0,0,00,19370590.91,5.0,7.0,0,0.0,Zhejiang
206,99,上海师范大学教育发展基金会,8326826.53,4,0.0,0.0,1,00.0,34115834.56,7.0,18.0,0,0.0,Shanghai
217,946,周培源基金会,232000.0,2,4,0.0,0,00,9598288.71,22.0,9.0,1,0.0,Beijing
218,2701,甘肃省扶贫基金会,360673.58,3,10,204040.0,1,00,9876372.34,25.0,7.0,0,1.0,Guangdong
219,563,北京大学教育基金会,570496650.7,5,31,0.0,1,01,4447449592.06,20.0,23.0,1,0.0,Beijing
220,2292,浙江省残疾人福利基金会,12237638.620000001,5,7,0.0,1,00,23914657.9,30.0,15.0,0,1.0,Zhejiang
224,876,厦门残疾人福利基金会,32827322.72,2,3,1500000.0,1,00,45073920.84,9.0,23.0,0,1.0,Fujian
225,3416,重庆市华岩文教基金会,3097323.5,3,7,0.0,0,00,7589778.23,9.0,10.0,0,1.0,Chongqing
226,964,哈尔滨市香坊区残疾人福利基金会,2250.0,4,4,0.0,1,40,5349474.27,6.0,19.0,0,1.0,Heilongjiang
229,2742,石狮市蔡辉煌教育基金会,0.0,3,0,0.0,0,00,2775931.22,7.0,11.0,0,0.0,Fujian
230,3042,达拉特旗人民教育基金会,2827014.5,3,1,0.0,1,00,7322826.58,6.0,13.0,0,1.0,Neimenggu
231,2033,沈阳市残疾人福利基金会,2505406.32,3,0,0.0,1,00,8043808.26,7.0,7.0,0,1.0,Liaoning
232,272,中国艺术节基金会,5851714.39,1,6,0.0,1,00,8966219.35,27.0,7.0,1,1.0,Beijing
235,1617,广西华侨爱心基金会,3662440.0,5,5,0.0,1,00,5062523.59,6.0,7.0,0,1.0,Guangxi
237,1815,杭州市萧山区人民教育基金会,11440900.0,2,1,0.0,1,00,21516787.63,25.0,18.0,0,1.0,Zhejiang
238,2366,海盐县农业技术推广基金会,0.0,5,3,950000.0,1,10,7538126.51,2.0,10.0,0,1.0,Zhejiang
241,341,云南省法律援助基金会,3060455.0,2,4,0.0,1,10,20194264.75,6.0,25.0,0,1.0,Yunnan
243,247,中国法学交流基金会,9682500.0,1,5,0.0,1,01,11024260.93,29.0,10.0,1,1.0,Beijing
244,891,台州市黄岩区教育发展基金会,53650000.0,3,0,0.0,1,00,4138066.0,6.0,8.0,0,1.0,Zhejiang
245,3205,陕西省神木县民生慈善基金会,2386100.0,4,16,0.0,1,00,2819160681.13,4.0,25.0,0,0.0,Shaanxi
248,1176,宁波市海曙区人民教育基金会,500000.0,3,0,0.0,1,00,34491617.42,10.0,9.0,0,1.0,Zhejiang
249,1089,天津市滨海社会救助基金会,0.0,3,2,0.0,0,00,1941980.22,7.0,5.0,0,0.0,Tianjin
250,1068,天津市华夏器官移植救助基金会,1665000.0,3,1,0.0,0,00,125018186.39,8.0,5.0,0,0.0,Tianjin
252,3222,陕西美术事业发展基金会,0.0,4,0,0.0,1,00,6713266.88,5.0,5.0,0,1.0,Shaanxi
253,2984,贵州省青年创业就业基金会,1675000.0,5,5,0.0,1,10,4965267.77,6.0,15.0,0,1.0,Guizhou
255,263,中国移动慈善基金会,38000000.0,3,7,0.0,0,00,101981176.01,6.0,12.0,1,0.0,Beijing
259,191,中华见义勇为基金会,14961850.0,3,12,10000000.0,1,55,141967581.26,22.0,23.0,1,1.0,Beijing
266,2983,贵州省青少年发展基金会,172066886.22,5,16,2600000.0,1,10,36423777.99,24.0,4.0,0,1.0,Guizhou
277,3280,韬奋基金会,32986965.96,3,12,0.0,1,01,94298277.21,29.0,21.0,1,0.0,Beijing
281,2221,浙江孤山慈善基金会,0.0,3,2,0.0,0,00,10650363.45,5.0,5.0,0,0.0,Zhejiang
282,269,中国职工发展基金会,0.0,1,0,0.0,1,12,47172369.78,21.0,13.0,1,1.0,Beijing
285,3227,陕西鱼化龙创业基金会,43200.0,3,3,0.0,0,00,5489828.29,5.0,5.0,0,0.0,Shaanxi
286,2822,福建省青少年发展基金会,16058418.209999999,5,10,20000.0,1,00,36500089.54,22.0,22.0,0,1.0,Fujian
287,2176,泛海公益基金会,442992350.0,4,5,0.0,0,00,201721474.73,5.0,7.0,1,0.0,Beijing
289,954,哈尔滨市公安民警救助基金会,500000.0,3,1,0.0,1,40,36536737.76,5.0,8.0,0,1.0,Heilongjiang
293,330,云南滇池保护治理基金会,1505.0,3,4,0.0,1,10,16541670.46,5.0,15.0,0,1.0,Yunnan
295,1349,山西省汾酒集团公益基金会,0.0,4,0,0.0,0,00,13402523.35,5.0,18.0,0,0.0,Shanxi
296,245,中国民航科普基金会,5147004.92,3,6,0.0,1,01,56798433.39,9.0,23.0,1,1.0,Beijing
300,3015,辽宁省抚顺市爱心教育基金会,1174337.62,3,3,0.0,1,00,3473792.11,10.0,23.0,0,0.0,Liaoning
302,3460,中国保护黄河基金会,2002600.0,2,8,0.0,1,00,36541877.08,6.0,11.0,1,1.0,Henan
304,712,北京航空航天大学教育基金会,99222660.54,4,11,0.0,1,00,593966984.36,10.0,14.0,1,0.0,Beijing
307,2844,纺织之光科技教育基金会,3104000.0,3,5,0.0,1,00,112630867.77,7.0,25.0,1,0.0,Beijing
308,213,中国出生缺陷干预救助基金会,7611026.180000001,3,6,100100000.0,1,02,171943157.86,4.0,6.0,1,1.0,Beijing
309,2034,沈阳市职工爱心慈善基金会,7181402.9,5,1,269541.93,1,01,34928436.21,9.0,25.0,0,1.0,Liaoning
318,2220,浙江大学教育基金会,352880041.3,5,52,0.0,1,01,2037849384.05,9.0,14.0,1,0.0,Zhejiang
320,76,上海市拥军优属基金会,12800450.0,3,13.0,14647950.0,1,00.0,776916976.14,20.0,21.0,0,1.0,Shanghai
321,1866,比亚迪慈善基金会,16860942.5,3,3,0.0,0,00,27298444.49,5.0,13.0,1,0.0,Guangdong
324,2070,河北省职工互助基金会,100000.0,5,4,0.0,1,00,7489436.88,4.0,15.0,0,0.0,Hebei
332,212,中国农业大学教育基金会,41583003.25,4,6,0.0,1,01,111011826.89,6.0,21.0,1,0.0,Beijing
333,3074,鄂尔多斯市成吉思汗基金会,0.0,3,0,3600000.0,1,00,4542698.98,24.0,9.0,0,0.0,Neimenggu
334,2720,白银市社会救助基金会,0.0,2,1,0.0,1,20,1016112.36,7.0,10.0,0,1.0,Gansu
335,1092,天津市福老基金会,0.0,4,4,0.0,1,00,24475198.95,7.0,5.0,0,1.0,Tianjin
339,233,中国少年儿童文化艺术基金会,23038952.57,3,12,0.0,1,00,33575965.51,24.0,11.0,1,1.0,Beijing
341,2831,福建运盛青年基金会,0.0,5,0,220000.0,1,00,3654225.01,22.0,16.0,0,0.0,Fujian
345,3350,宁夏回族自治区残疾人福利基金会,3144000.0,4,4,500000.0,1,11,15648948.42,30.0,47.0,0,1.0,Ningxia
350,307,云南三益文化国防基金会,345900.0,5,8,0.0,1,00,3644089.6,5.0,19.0,0,0.0,Yunnan
351,3338,黑龙江飞鹤乳业有限公司助学基金会,0.0,4,1,0.0,0,00,10235555.24,9.0,5.0,0,0.0,Heilongjiang
353,2314,浙江省马寅初人口福利基金会,1062124.47,4,4,0.0,1,00,25402988.39,21.0,13.0,0,1.0,Zhejiang
354,2666,爱佑慈善基金会,351888530.6,5,42,0.0,0,00,437836320.97,7.0,21.0,1,0.0,Beijing
357,36,上海唐君远教育基金会,5693026.54,5,1.0,0.0,0,00.0,208132445.12,16.0,13.0,0,0.0,Shanghai
358,3430,重庆缙云山养生慈爱基金会,1144900.0,2,2,0.0,0,00,3780406.47,8.0,5.0,0,0.0,Chongqing
359,3206,陕西省红十字基金会,5201568.0,3,5,0.0,1,10,15914101.31,6.0,7.0,0,1.0,Shaanxi
361,892,台州职业技术学院涌泉奖助基金会,771110.71,4,0,0.0,1,00,9720209.9,8.0,9.0,0,0.0,Zhejiang
363,185,中华思源工程扶贫基金会,214493041.4,4,41,1200000.0,1,11,254533982.98,8.0,20.0,1,1.0,Beijing
366,267,中国绿色碳汇基金会,53380619.41,4,16,600000.0,1,00,154995985.36,5.0,14.0,1,1.0,Beijing
369,115,上海民建扶帮公益基金会,9324100.8,3,0.0,0.0,1,80.0,23753349.84,6.0,17.0,0,0.0,Shanghai
370,3731,朝阳市教育基金会,1664130.28,1,5,0.0,1,00,7187885.95,1.0,19.0,0,1.0,Liaoning
371,2738,石家庄市志愿服务基金会,444536.11,5,3,0.0,1,20,7682300.35,4.0,25.0,0,0.0,Hebei
375,1625,广西壮族自治区扶贫基金会,1830601.65,4,8,200000.0,1,01,19116439.0,20.0,,0,,Guangxi
379,182,中华国际医学交流基金会,116304135.02,3,11,0.0,1,00,118529887.34,27.0,12.0,1,1.0,Beijing
380,3221,陕西纯山教育基金会,4074650.51,4,9,200000.0,0,00,5963249.72,9.0,7.0,0,0.0,Shaanxi
381,410,内蒙古乌拉特后旗盛安爱心济困基金会,0.0,3,3,0.0,0,00,2003994.27,3.0,11.0,0,0.0,Neimenggu
382,2031,沈阳市公安英烈暨民警救助基金会,12000000.0,3,4,0.0,1,00,17758300.52,6.0,,0,,Liaoning
386,346,云南省绿色环境发展基金会,11301106.32,4,9,0.0,1,01,12280406.85,7.0,15.0,0,1.0,Yunnan
389,3190,陕西省宝鸡市老龄事业发展基金会,87600.0,1,4,283000.0,1,00,4857821.0,26.0,16.0,0,1.0,Shaanxi
390,271,中国航天基金会,7600130.0,3,12,0.0,1,00,123748248.41,20.0,18.0,1,1.0,Beijing
391,2270,浙江省妇女儿童基金会,11649774.12,4,12,0.0,1,00,13252375.02,34.0,25.0,0,1.0,Zhejiang
392,256,中国癌症基金会,4290698930.67,4,29,1350000.0,1,00,1249722912.32,31.0,19.0,1,1.0,Beijing
396,3291,马海德基金会,1281746.6,1,0,0.0,0,00,9162286.37,26.0,13.0,1,0.0,Beijing
400,3088,重庆市南川区教育基金会,1363753.1,2,1,0.0,1,00,2348971.11,5.0,17.0,0,0.0,Chongqing
404,67,上海市大学生科技创业基金会,1000000.0,4,6.0,18000000.0,1,00.0,1266805471.2,9.0,15.0,0,1.0,Shanghai
406,2080,河北进德公益基金会,14303636.99,4,26,0.0,0,10,11674135.18,4.0,7.0,0,0.0,Hebei
410,2763,福建大丰文化基金会,1064272.0,4,6,0.0,0,00,12788967.38,24.0,5.0,0,0.0,Fujian
422,1058,天津南开大学教育基金会,72705411.25,5,15,0.0,1,11,160192430.89,11.0,16.0,0,0.0,Tianjin
424,2308,浙江省阳光教育基金会,2663262.8,4,5,100000.0,0,00,14212791.31,5.0,13.0,0,0.0,Zhejiang
431,227,中国国际文化交流基金会,13613645.3,3,1,0.0,1,00,44773802.72,31.0,5.0,1,1.0,Beijing
432,235,中国志愿服务基金会,13592932.44,4,16,0.0,1,02,90363963.04,6.0,16.0,1,1.0,Beijing
433,356,西双版纳州热带雨林保护基金会,190000.0,3,4,0.0,1,00,6673300.91,5.0,19.0,0,1.0,Yunnan
434,1628,广西师范大学教育发展基金会,2705669.1,5,5,0.0,1,00,39917646.29,9.0,19.0,0,0.0,Guangxi
443,2066,河北师范大学教育基金会,1329719.0,5,4,0.0,1,00,17211348.51,5.0,13.0,0,0.0,Hebei
446,448,内蒙古自治区残疾人福利基金会,34215664.0,3,7,250000.0,1,10,19365662.12,10.0,11.0,0,1.0,Neimenggu
448,222,中国发展研究基金会,98783446.57,4,19,500000.0,1,03,275333804.34,18.0,17.0,1,1.0,Beijing
450,505,北京交通大学教育基金会,56003842.89,4,10,0.0,1,00,222307770.24,6.0,19.0,1,0.0,Beijing
454,1680,心和公益基金会,22200290.0,3,10,0.0,0,00,50974434.81,7.0,8.0,1,0.0,Beijing
456,205,中国保护消费者基金会,0.0,1,8,0.0,1,00,10264557.91,26.0,8.0,1,1.0,Beijing
458,3184,陕西省农业发展基金会,608374.2,2,3,0.0,1,00,3021890.27,10.0,7.0,0,0.0,Shaanxi
461,184,中华少年儿童慈善救助基金会,337063209.42,3,47,0.0,1,00,288503065.08,6.0,17.0,1,1.0,Beijing
463,112,上海曙光中医药研究发展基金会,2662200.0,4,2.0,0.0,0,00.0,3854876.44,6.0,23.0,0,0.0,Shanghai
468,77,上海市教育发展基金会,96807456.85,5,10.0,0.0,1,00.0,349304857.4,21.0,24.0,0,1.0,Shanghai
472,3311,黑龙江省东北林业大学教育发展基金会,3054400.0,4,4,0.0,1,90,5646250.18,5.0,19.0,0,0.0,Heilongjiang
473,1053,大连市青少年发展基金会,16634433.59,5,6,0.0,1,00,35110099.3,10.0,11.0,0,0.0,Liaoning
479,1086,天津市残疾人福利基金会,13973142.440000001,4,5,15000.0,1,30,19519616.91,25.0,23.0,0,1.0,Tianjin
482,2696,甘肃省公安民警英烈基金会,1200000.0,3,4,0.0,1,00,16041248.14,6.0,25.0,0,1.0,Gansu
484,3099,重庆师范大学教育发展基金会,6561998.0,2,4,0.0,1,00,13004077.77,4.0,10.0,0,0.0,Chongqing
489,1057,天津中国民航大学教育发展基金会,1647438.28,3,0,0.0,1,00,37534638.0,9.0,11.0,0,0.0,Tianjin
494,449,内蒙古自治区青少年发展基金会,10843649.02,4,8,0.0,1,00,29120280.28,25.0,15.0,0,1.0,Neimenggu
496,321,云南大益爱心基金会,12430830.0,5,6,0.0,0,00,114325905.52,8.0,6.0,0,0.0,Yunnan
502,2258,浙江省农业技术推广基金会,0.0,4,9,0.0,1,10,147279134.26,20.0,19.0,0,1.0,Zhejiang
506,183,中华国际科学交流基金会,12280000.0,2,11,0.0,1,00,8422814.63,16.0,7.0,1,1.0,Beijing
514,273,中国西部人才开发基金会,33118900.0,4,16,1000000.0,1,00,59951257.87,9.0,21.0,1,1.0,Beijing
518,343,云南省温暖工程慈善基金会,1270000.0,2,3,0.0,1,00,4827593.15,4.0,5.0,0,1.0,Yunan
520,2295,浙江省瑞安中学教育发展基金会,5066829.09,5,3,0.0,1,00,15049166.9,2.0,8.0,0,0.0,Zhejiang
522,3418,重庆市光明基金会,0.0,2,1,0.0,0,00,7216473.49,8.0,9.0,0,0.0,Chongqing
523,2953,诸暨市九鼎教育基金会,0.0,5,0,0.0,0,00,2017153.86,8.0,6.0,0,0.0,Zhejiang
528,3025,辽宁省见义勇为基金会,0.0,3,4,4100000.0,1,00,5802305.06,18.0,19.0,0,1.0,Liaoning
