,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
839,63,上海市华侨事业发展基金会,15031381.78,4,11.0,0.0,1,00.0,23842401.51,9.0,11.0,0,1.0,Shanghai
842,1807,杭州市农业技术推广基金会,0.0,4,4,3991000.0,1,00,17972988.07,12.0,3.0,0,1.0,Zhejiang
843,887,台州市老年事业发展基金会,0.0,3,3,100000.0,1,00,14176814.16,4.0,23.0,0,1.0,Zhejiang
845,2965,贵州省同心光彩事业基金会,1500808.67,3,2,0.0,1,01,5873333.86,4.0,8.0,0,1.0,Guizhou
848,3031,辽宁省辽宁石油化工大学教育发展基金会,495185.33,3,3,0.0,1,00,5182091.89,4.0,11.0,0,0.0,Liaoning
849,2972,贵州省春晖行动发展基金会,6031289.9,4,10,0.0,1,00,10813342.91,6.0,14.0,0,1.0,Guizhou
851,959,哈尔滨市老年基金会,889720.0,3,4,0.0,1,30,9736904.81,4.0,7.0,0,1.0,Heilongjiang
853,230,中国妇女发展基金会,447278535.15,5,61,300000000.0,1,00,557169855.67,27.0,18.0,1,1.0,Beijing
855,210,中国公安民警英烈基金会,23966017.4,3,6,0.0,1,11,230335597.74,12.0,12.0,1,1.0,Beijing
859,3405,重庆儿童救助基金会,9226821.8,3,11,0.0,1,00,44185589.92,10.0,11.0,0,1.0,Chongqing
870,1824,浙江省陈伯滔体育基金会,628382.0,4,1,200000.0,1,00,2395223.03,20.0,6.0,0,0.0,Zhejiang
872,2700,甘肃省天水市伏羲赡老助学基金会,0.0,3,0,0.0,0,00,4519445.73,5.0,5.0,0,0.0,Gansu
873,2697,甘肃省兰州市城关区教育发展基金会,5800000.0,3,0,0.0,1,30,21948488.7,4.0,17.0,0,1.0,Gansu
877,437,内蒙古清格尔泰蒙古语言文化基金会,0.0,4,3,90000.0,1,00,2495168.36,7.0,7.0,0,0.0,Neimenggu
887,3186,陕西省唐大明宫遗址文物保护基金会,50000.0,3,0,0.0,1,00,9110647.34,7.0,8.0,0,1.0,Shaanxi
890,1798,李可染艺术基金会,3959968.0,2,4,0.0,0,00,22093104.89,17.0,19.0,1,0.0,Beijing
892,3332,黑龙江省见义勇为奖励基金会,0.0,3,5,720000.0,1,41,5801304.57,21.0,9.0,0,1.0,Heilongjiang
893,2745,神华公益基金会,443867000.0,5,8,1200000.0,0,00,777132159.19,5.0,18.0,1,0.0,Beijing
904,181,中华同心温暖工程基金会,31679614.0,3,7,0.0,1,31,52304613.07,4.0,13.0,1,1.0,Beijing
907,3111,金华职业技术学院教育发展基金会,1456470.0,4,2,1360000.0,1,00,83759582.44,6.0,16.0,0,0.0,Zhejiang
909,2280,浙江省康恩贝慈善救助基金会,15418556.0,5,2,0.0,0,00,14410790.21,8.0,6.0,0,0.0,Zhejiang
911,1098,天津市联合助学基金会,1201795.5,4,2,0.0,0,00,4267318.71,10.0,11.0,0,1.0,Tianjin
915,1642,广西青少年发展基金会,22774227.56,5,11,0.0,1,10,48959912.18,21.0,14.0,0,1.0,Guangxi
917,2250,浙江省三立慈善基金会,10684600.0,4,0,0.0,0,00,4027029.07,3.0,5.0,0,0.0,Zhejiang
919,1046,大连市妇女儿童发展基金会,1587999.11,4,4,0.0,1,00,7658241.99,4.0,13.0,0,1.0,Liaoning
921,1084,天津市景华公益基金会,548400.0,3,9,0.0,0,00,1268869.75,5.0,13.0,0,0.0,Beijing
924,3358,宁夏回族自治区医学科研教育基金会,0.0,3,0,0.0,1,00,4497526.52,13.0,6.0,0,1.0,Ningxia
927,3457,重庆市教育发展基金会,63211157.86,5,7,3000000.0,1,01,74307770.92,6.0,17.0,0,1.0,Chongqing
928,264,中国红十字基金会,261664675.0,5,56,200000000.0,1,00,557379228.89,21.0,22.0,1,1.0,Beijing
930,270,中国肝炎防治基金会,36888391.73,3,12,0.0,1,11,70337454.23,17.0,17.0,1,1.0,Beijing
931,2041,河北慈善联合基金会,12847951.399999999,3,14,0.0,1,01,5868497.7,3.0,9.0,0,1.0,Hebei
932,1061,天津大学北洋教育发展基金会,67274243.24,5,13,135000.0,1,00,247954473.26,20.0,21.0,0,0.0,Tianjin
933,3162,陕西中实弘扬法治教育基金会,300000.0,3,1,0.0,0,20,3477828.2,3.0,7.0,0,0.0,Shaanxi
937,98,上海市黄浦区教育基金会,506000.0,3,0.0,0.0,1,00.0,74806038.28,23.0,15.0,0,1.0,Shanghai
941,2768,福建师范大学附属中学正祥教育基金会,1280000.0,3,1,0.0,1,10,10556510.16,2.0,5.0,0,0.0,Fujian
944,1623,广西和正慈善基金会,76000.0,4,7,1456.3,0,00,2013943.87,6.0,8.0,0,0.0,Guangxi
946,953,哈尔滨工程大学教育发展基金会,10364715.68,5,3,160000.0,1,00,51419948.25,7.0,17.0,0,0.0,Heilongjiang
950,3006,辽宁省兴隆大家庭大病救助基金会,750000.0,3,0,0.0,0,00,2174863.47,6.0,5.0,0,0.0,Liaoning
959,1775,晋江市侨声中学教育发展基金会,18742900.01,3,4,0.0,1,00,19854830.99,7.0,10.0,0,0.0,Fujian
